
question_text,option_a,option_b,option_c,option_d,correct_answer,difficulty,sub_topic_id
"A fair die is rolled. If you win $5 for rolling a 6 and lose $1 for any other roll, what is your expected profit?",$2,$1,$0,$3,A,medium,46
"In a class of 15 students, a team of 5 members is to be selected. What is the probability that a specific student is included in the team?",1/3,2/5,1/5,1/15,A,medium,46
"In a town, 60% of people are vaccinated. The probability of getting the flu if vaccinated is 0.03, and if not vaccinated, it is 0.15. If a person is randomly selected and found to have the flu, what is the probability that they are vaccinated?",0.5,0.35,0.6,0.45,B,medium,46
"A factory produces 70% of its products on Machine X and 30% on Machine Y. The defect rates for Machine X and Machine Y are 4% and 12%, respectively. If a randomly selected product is defective, what is the probability that it was produced by Machine X?",0.5,0.45,0.4,0.55,A,medium,46
"A bag contains 4 red balls, 3 blue balls, and 5 green balls. What is the probability of drawing a red ball and then a green ball without replacement?",12/66,15/66,16/66,10/66,A,medium,46
"Why is the probability of rolling a number less than 5 on a die equal to 2/3?",There are 3 possible outcomes,There are 4 possible outcomes,It's based on the number of even outcomes,It's because the number is restricted,B,easy,45
"If two dice are rolled, what does the probability of rolling a sum of 7 depend on?",The number of faces on the dice,The number of ways to get a sum of 7,The probability of rolling a 1,The number of dice rolled,B,easy,45
"Why is the probability of flipping a coin twice and getting two heads equal to 1/4?",Because the possible outcomes are reduced,Because each flip is independent,Because it's a compound event,Because there are four possible outcomes,D,easy,45
"If a card is drawn randomly from a deck, what is the probability of it being a red card or a face card?",26/52,30/52,32/52,28/52,A,easy,45
"How do you calculate the probability of either event A or event B occurring if they are mutually exclusive?",P(A) + P(B),P(A) * P(B),P(A) - P(B),P(A) / P(B),A,easy,45
"Why do probabilities always range between 0 and 1?",Because probabilities are defined this way,Because they represent percentages,Because probabilities can't exceed 1,Because they follow the rules of fractions,A,easy,45
"If a die is rolled, why is the probability of rolling a 3 equal to 1/6?",Because there are 6 possible outcomes,Because there are 5 possible outcomes,Because the die is fair,Because 3 is a prime number,A,easy,45
"What is the relationship between the probability of an event and its complement?",P(A) + P(not A) = 1,P(A) = 1 - P(not A),P(A) * P(not A) = 1,P(A) = 1,A,easy,45
"If two events are mutually exclusive, what is the probability of both events occurring?",1,0,Depends on the events,P(A) + P(B),B,easy,45
"What does it mean when the probability of an event is close to 0?",The event is almost certain,The event is impossible,The event is unlikely,The event is highly probable,C,easy,45
"If the probability of an event is 0, the event is considered:",Certain,Impossible,Unlikely,Possible,B,easy,44
"What is the probability of rolling a 5 on a standard die?",1/6,1/5,1/4,1/3,A,easy,44
"How many total outcomes are possible when flipping 2 coins?",2,3,4,6,C,easy,44
"What is the probability of drawing an Ace from a standard deck of cards?",1/52,1/26,1/13,1/4,C,easy,44
"If two events cannot happen at the same time, they are called:",Independent events,Mutually exclusive events,Dependent events,Complementary events,B,easy,44
"What does a probability of 1 indicate?",The event will never happen,The event is certain to happen,The event has a 50% chance of happening,The event has a 0% chance of happening,B,easy,44
"What is the sample space for rolling a six-sided die?","{1, 2, 3, 4, 5, 6}","{1, 2, 3, 4, 5}","{1, 2, 3}","{1, 2}",A,easy,44
"Which of the following datasets has the lowest variance?",Dataset with values 1, 1, 1, 1,Dataset with values 1, 2, 3, 4,Dataset with values 5, 10, 15, 20,Dataset with values 5, 5, 5, 5,D,medium,43
"If the variance of a dataset is infinite, what can you conclude about the data?",The data has extreme outliers,The data is normally distributed,The data has no outliers,The data has a small spread,A,medium,43
"What does standard deviation measure in statistics?",Average value of the data,Spread or dispersion of data,Middle value of the data,Frequency of the data,B,medium,43
"Below is the data for the weights of five students. Find the variance for the data: 45, 50, 48, 52, 50.",2,3,4,5,B,medium,43
"If the standard deviation of a dataset is zero, what can you conclude about the data?",All data points are the same,The data is normally distributed,The data is skewed,The data has outliers,A,medium,43
"What is the best measure of central tendency for skewed data?",Mean,Median,Mode,Range,B,easy,42
"The average score of 25 students on a test is 75, and the standard deviation is 5. What does this imply about the spread of scores?",Scores are spread out,Scores are tightly clustered,Scores are random,Scores are all equal,B,medium,42
"Let Y represent the total of the numbers obtained by rolling two fair dice. Calculate Y's standard deviation.",1,2,3,4,B,medium,42
"If a data set has a strong negative skew, which measure of central tendency would likely be the lowest?",Mean,Median,Mode,Range,C,easy,42
"A class of 30 students was surveyed about their favorite color. Calculate the standard deviation for the data: Red, Blue, Green, Yellow.",2,3,4,5,C,medium,42
"The ages (in years) of 12 students are: 18, 19, 20, 21, 20, 19, 18, 21, 19, 18, 22, 20. Find the median age of the students.",19,20,21,22,B,easy,41
"The numbers 5, 10, 15, 20, x, and 25 have a mean of 15. Find the value of x.",10,15,20,25,C,easy,41
"What does a skewed distribution indicate?",Data is equally spread,Data is concentrated around the mean,Data is asymmetrical,Data follows a normal distribution,C,easy,41
"What does a positive correlation between two variables imply?","When one increases, the other decreases","When one increases, the other increases","No relationship exists","One variable is constant",B,medium,41
"Why is the median sometimes more useful than the mean?",It is not affected by outliers,It considers all values equally,It uses a weighted average,It is easier to calculate,A,easy,41
"In a survey of 50 people, 30 people said they liked mangoes, and 20 people said they liked oranges. What is the percentage of people who like mangoes?",60%,50%,40%,30%,A,easy,40
"The marks of 8 students in a class are: 55, 60, 65, 70, 75, 80, 85, and 90. Find the mean marks of the students.",70,72,74,76,A,easy,40
"What is the function of a histogram in data analysis?",To show the range of data,To summarize data into categories,To display the distribution of data,To calculate the mean,C,easy,40
"What type of data is represented by the number of goals scored in a soccer match?",Quantitative,Qualitative,Ordinal,Nominal,A,easy,40
"Which of the following is a measure of spread?",Mean,Median,Mode,Variance,D,easy,40
"Evaluate the effect of swapping the limits of ∫ from b to a on the integral value.",It inverts the sign of the result,It doesn't affect the result,It doubles the value,It triples the value,A,medium,39
"Determine the value of ∫ from 0 to 𝜋/2 sin(x) dx and explain why it is half of 𝜋.",The integral evaluates to 𝜋/2,The integral evaluates to 𝜋,The integral evaluates to 0,The integral evaluates to 1,A,medium,39
"Break down ∫ from a to b 3x² dx and analyze how the result is affected by changing the limits.",The result increases with smaller intervals,The result decreases with larger intervals,The result is constant for any interval,The result depends on the power of x,B,medium,39
"Examine the relation between F'(x) and ∫ f(x) dx for F(x) = ∫ f(x) dx.",F'(x) is the integral of f(x),F'(x) is equal to the derivative of f(x),F'(x) is twice f(x),F'(x) is the opposite of f(x),B,medium,39
"Analyze the behavior of ∫ from -3 to 3 (x⁴ - x) dx and explain if the result is non-zero.",The result is zero because of symmetry,The result is negative due to the limits,The result is positive because of the higher power term,The result is undefined due to the negative term,A,medium,39
"Use substitution to evaluate ∫ from 0 to 1 3xe^(x³) dx.",The result is e³ - e⁰,The result is e² - 1,The result is 3e - 1,The result is 3e² - 1,A,medium,38
"Calculate the integral ∫ from 1 to 2 (1/x³) dx.",1/2,1/3,-1/2,-1/3,C,medium,38
"Evaluate ∫ from 0 to 2 e^(3x) dx.",e⁶ - 1,e⁶ - e³,1 - e³,e³ - 1,B,medium,38
"Find the value of ∫ from 0 to 𝜋/2 cos²(x) dx using trigonometric identities.",𝜋/4,𝜋/2,𝜋/6,𝜋/3,A,medium,38
"Evaluate ∫ (x³ + 5) dx.",(x⁴/4) + 5x,(x⁴/4) + 5x²,(x⁵/5) + 5x,(x³/3) + 5x²,A,medium,38
"Analyze the effect of negative f(x) on ∫ from a to b when f(x) is negative.",The result will always be negative,The result will be positive,The result will be zero,The result will be undefined,A,easy,37
"Given F(x) = ∫ f(x) dx, what is F'(x)?",f(x),x - f(x),∫ f(x) dx,f'(x),A,easy,37
"Find ∫ x² e^x dx using integration by parts.",x² e^x - 2x e^x + 2e^x,e^x + x²,x² e^x + e^x,x² e^x - e^x,A,easy,37
"Evaluate ∫ from 0 to 𝜋 cos(x) dx.",0,2,1,-1,A,easy,37
"Evaluate ∫ from 0 to 2 x³ dx.",2,4,8,16,B,easy,37
"The integral ∫ from a to b f(x) dx represents:",The total accumulation of f(x) from a to b,The average value of f(x) from a to b,The area above the x-axis only,The slope of f(x) from a to b,A,easy,37
"Which of the following statements about definite integrals is true?",They represent the net area under f(x),They represent instantaneous velocity,They represent the rate of change of f(x),They represent the area above the x-axis only,A,easy,36
"If ∫ xⁿ dx = x^(n+1)/(n+1) + C, what condition must n satisfy?",n ≠ -1,n > 0,n ≤ 1,n = 1,A,easy,36
"What is the integration of cos(x) with respect to x?",sin(x),-sin(x),tan(x),-cos(x),B,easy,36
"What is the value of ∫ e^(2x) dx?",e^(2x)/2 + C,e^(2x) + C,e^(2x)/2,2e^(2x),A,easy,36
"Evaluate ∫ 5x³ dx.",(5x⁴)/4,5x⁴/4,5x⁵/5,5x⁴/3,A,easy,36
"Analyze the effect of changing the exponent in the differentiation of x^n.",The derivative increases as the exponent increases,The derivative is always constant for any exponent,The derivative decreases as the exponent decreases,The derivative is directly proportional to the exponent,A,medium,35
"Determine the derivative of f(x) = x⁴ - 3x² + 5.",4x³ - 6x,3x³ - 2x,4x³ + 3x²,3x² - 6x,A,medium,35
"Break down the differentiation of f(x) = sin(x) * cos(x) using the product rule.",f'(x) = cos²(x) - sin²(x),f'(x) = 2cos(x),f'(x) = cos²(x) + sin²(x),f'(x) = 2sin(x)cos(x),D,medium,35
"Analyze the derivative of a function involving a rational expression: f(x) = 1/(x² + 1).",The derivative is -2x/(x² + 1)²,The derivative is 2x/(x² + 1),The derivative is -2x/(x² + 1),The derivative is -2/(x² + 1)²,A,medium,35
"Find the derivative of f(x) = e^(2x).",f'(x) = 2e^(2x),f'(x) = e^(2x),f'(x) = 2e^(x),f'(x) = e^(x²),A,medium,35
"Differentiate f(x) = x² * e^x using the product rule.",f'(x) = x² * e^x + 2xe^x,f'(x) = 2xe^x,f'(x) = 2x² * e^x,f'(x) = x * e^x,A,medium,34
"Find the derivative of f(x) = 5x³ - 4x² + 2x - 7.",f'(x) = 15x² - 8x + 2,f'(x) = 15x² - 4x + 2,f'(x) = 3x² - 4x + 2,f'(x) = 3x² - 8x + 2,A,medium,34
"Differentiate f(x) = ln(x² + 1).",f'(x) = 2x/(x² + 1),f'(x) = 2x/(x² + 1)²,f'(x) = 1/(x² + 1),f'(x) = x² + 1,A,medium,34
"Find the derivative of f(x) = tan(x).",f'(x) = sec²(x),f'(x) = cos(x),f'(x) = sin(x),f'(x) = sec(x),A,medium,34
"Differentiate f(x) = x^2 * ln(x).",f'(x) = 2x * ln(x) + x,f'(x) = x² * 1/x,f'(x) = 2x * ln(x) - x,f'(x) = 2x * ln(x) + x²,A,medium,34
"Explain the relationship between the derivative of a function and its rate of change.",The derivative indicates the instantaneous rate of change,The derivative shows the cumulative rate of change,The derivative only applies to linear functions,The derivative represents the average rate of change,A,easy,33
"What does the derivative of f(x) = x³ - 5x² + 3x represent geometrically?",The slope of the tangent line to the curve at any point,The area under the curve,The total accumulated value of the function,The maximum value of the function,A,easy,33
"Find the derivative of f(x) = √x.",f'(x) = 1/(2√x),f'(x) = 1/2x,f'(x) = 2x,f'(x) = x/2,A,easy,33
"How would you differentiate a function of the form f(x) = sin(x) + cos(x)?",f'(x) = cos(x) - sin(x),f'(x) = sin(x) + cos(x),f'(x) = -sin(x) + cos(x),f'(x) = -cos(x) + sin(x),A,easy,33
"Differentiate f(x) = 3x⁴ - 2x³ + x².",f'(x) = 12x³ - 6x² + 2x,f'(x) = 4x³ - 6x² + 2x,f'(x) = 12x³ - 2x² + 3x,f'(x) = 3x² - 2x + 1,A,easy,33
"What does the derivative of a constant function equal?",Zero,One,The constant itself,Undefined,A,easy,32
"Find the derivative of f(x) = 2x.",f'(x) = 2,f'(x) = x,f'(x) = 1,f'(x) = 0,A,easy,32
"Find the derivative of f(x) = 4x² + 6x.",f'(x) = 8x + 6,f'(x) = 4x + 6,f'(x) = 8x,f'(x) = 6x,A,easy,32
"Which of the following is the derivative of f(x) = x⁵?",5x⁴,x⁴,5x³,x³,A,easy,32
"Evaluate the derivative of f(x) = sin(x) + x.",f'(x) = cos(x) + 1,f'(x) = cos(x),f'(x) = -cos(x) + 1,f'(x) = sin(x),A,easy,32
"Analyze the limit of f(x) = (x² - 4)/(x - 2) as x approaches 2.",The limit approaches 4,The limit approaches 2,The limit is undefined,The limit approaches infinity,A,medium,30
"Evaluate lim(x→0) (sin(x)/x).",1,0,∞,Does not exist,A,medium,30
"Analyze the limit of f(x) = (x³ - 1)/(x - 1) as x approaches 1 using factoring.",The limit approaches 3,The limit is undefined,The limit approaches 1,The limit approaches infinity,A,medium,30
"Analyze the limit of f(x) = e^(2x) as x approaches 0.",The limit approaches 1,The limit approaches 0,The limit approaches 2,The limit approaches e,A,medium,30
"Find lim(x→∞) (1/x).",0,1,∞,Does not exist,A,medium,30
"Use L'Hopital's Rule to find lim(x→0) (sin(x)/x).",1,0,∞,Does not exist,A,medium,29
"Evaluate lim(x→1) (x² + 3x - 4)/(x - 1) using algebraic manipulation.",The limit is 4,The limit is 3,The limit is 2,The limit is 0,A,medium,29
"Find the limit of f(x) = (x - 1)/(x² - 1) as x approaches 1.",The limit is 0.5,The limit is 1,The limit is 0,The limit is undefined,A,medium,29
"Apply the squeeze theorem to evaluate lim(x→0) x² * sin(1/x).",0,1,∞,Does not exist,A,medium,29
"Evaluate lim(x→∞) (2x + 1)/(x - 1).",2,1,∞,0,A,medium,29
"Explain the concept of a limit approaching infinity.", "A limit approaching infinity means the function value increases without bound.", "A limit approaching infinity means the function value approaches zero.", "A limit approaching infinity means the function reaches a maximum value.", "A limit approaching infinity means the function reaches a fixed point.", A, easy, 28
"What does the limit of a function represent at a given point?", "The value the function approaches as the input approaches the point.", "The value the function reaches exactly at the point.", "The average value of the function around the point.", "The slope of the function at that point.", A, easy, 28
"Evaluate lim(x→0) (x² + 2x) as x approaches 0.", 2, 0, 1, ∞, B, easy, 28
"What does it mean for a limit to be undefined?", "The function approaches different values from the left and right sides.", "The function has a jump discontinuity.", "The function does not have a defined value at that point.", "The function approaches infinity.", A, easy, 28
"Evaluate lim(x→2) (x² - 4).", 0, 4, 2, "Does not exist", A, easy, 27
"What is the value of lim(x→0) sin(x)?", 0, 1, ∞, "Does not exist", A, easy, 27
"Find lim(x→5) (x² + 3x - 20)/(x - 5).", 5, -5, 10, -10, C, easy, 27
"What is the limit of f(x) = x² as x approaches 3?", 9, 0, 3, "Does not exist", A, easy, 27
"What does a one-sided limit represent?", "The value the function approaches from one direction (left or right).", "The value the function reaches at a specific point.", "The slope of the function at a given point.", "The average value of the function around the point.", A, easy, 27
"Analyze the effect of changing the angle in the identity sin²(x) + cos²(x) = 1 and how it impacts the value of trigonometric functions.", "The values of sine and cosine remain constant for all angles.", "The identity remains true only for certain values of x.", "The identity changes with the angle.", "The identity is invalid for certain angles.", B, medium, 24
"If the identity tan(x) = sin(x)/cos(x) is true, analyze how the values of sine and cosine affect the value of the tangent function.", "Tangent is undefined when sine is zero.", "Tangent decreases as sine increases.", "Tangent increases as cosine increases.", "Tangent is unaffected by sine and cosine.", A, medium, 24
"Analyze how the sum identity for sine sin(a + b) = sin(a)cos(b) + cos(a)sin(b) affects the trigonometric functions of compound angles.", "It converts addition into multiplication.", "It transforms the sum of angles into the difference of angles.", "It simplifies the compound angle into a single function.", "It helps in calculating trigonometric values of complex angles.", D, medium, 24
"Evaluate how the cotangent function relates to other trigonometric ratios and analyze its behavior for different angles.", "Cotangent is the reciprocal of sine.", "Cotangent is the reciprocal of cosine.", "Cotangent is the product of sine and cosine.", "Cotangent is the reciprocal of tangent.", D, medium, 24
"Analyze the impact of the angle's periodicity on the values of trigonometric functions such as sine, cosine, and tangent.", "The value of sine and cosine increases with the angle.", "The value of tangent decreases with the angle.", "The values of sine, cosine, and tangent repeat after specific intervals.", "The trigonometric functions do not repeat.", C, medium, 24

"Solve the linear equation: 3x + 4 = 13.",x = 3,x = 4,x = 2,x = 5,A,medium,14
"Given the linear equation 2x - 5 = 9, find the value of x.",x = 7,x = 6,x = 4,x = 3,A,medium,14
"What is the slope of the line represented by the equation y = 2x + 3?",1,2,3,4,B,hard,14
"What is the result of 6 x 7?",35,42,48,54,B,easy,13
"Multiply: 4 x 5.",15,16,20,25,C,easy,13
"Multiply: 8 x 9.",72,64,56,48,B,medium,13
"Find the product of 3 x 6.",9,12,15,18,B,medium,13
"Multiply 7 x 11.",77,78,76,79,A,hard,13
"What is the result of 20 ÷ 4?",4,5,6,7,B,easy,12
"Divide 100 by 5.",10,15,20,25,A,easy,12
"Divide 50 by 2.",25,30,20,35,D,medium,12
"Divide 45 by 9.",5,6,7,8,B,medium,12
"What is 72 ÷ 8?",9,10,11,12,A,hard,12
"What is the result of 9 - 5?",4,3,2,1,A,easy,11
"Subtract 12 - 6.",7,8,9,6,D,easy,11
"Subtract 15 - 7.",8,7,9,10,A,medium,11
"Find the result of 20 - 15.",3,4,5,6,C,medium,11
"Subtract 100 - 50.",50,60,70,40,A,hard,11
"What is 4 + 3?",5,6,7,8,A,easy,10
"Add: 12 + 15.",25,27,28,29,B,easy,10
"Find the sum of 8 + 14.",22,21,23,24,D,medium,10
"Add: 100 + 250.",350,400,300,450,A,medium,10
"Given the quadratic equation x² + 5x + 6 = 0, determine the roots of the equation.","x = -1, -6","x = 1, -6","x = -2, -3","x = -3, 2",C,medium,15
"Find the discriminant of the quadratic equation 2x² - 4x + 2 = 0.",4,16,0,8,C,hard,15
"What is the solution for the linear equation 2x + 3 = 7?",x = 2,x = 3,x = 4,x = 1,A,easy,14
"Which of the following is the solution to the linear equation 5x - 4 = 16?",x = 4,x = 5,x = 3,x = 2,A,easy,14
"What is the standard form of a quadratic equation?",x² + 5x + 6 = 0,x² + 4x + 5 = 0,x² - 3x + 2 = 0,x² + 7x + 9 = 0,A,easy,15
"Which of the following is the solution to the quadratic equation x² - 4x + 4 = 0?",x = 2,x = -2,x = 1,x = -1,A,easy,15
"Solve the quadratic equation: x² + 6x + 8 = 0.","x = -2, -4","x = 2, -4","x = -2, 4","x = -4, 2",A,medium,15
"Find the sum of 1000 + 1500.",2500,3000,3500,3450,B,hard,10
"What is the inverse of tan(x)?",sin(x),cos(x),sec(x),arctan(x),D,easy,9
"Which of the following is the inverse of cos(x)?",arcsin(x),arccos(x),arctan(x),arccot(x),B,easy,9
"What is the value of sin⁻¹(1/2)?",30°,45°,60°,90°,A,medium,9
"Find the inverse of sin(x) when x = 1/2.",30°,45°,60°,90°,A,medium,9
"Find the value of cos⁻¹(1/2).",60°,45°,30°,90°,A,hard,9
"What is the solution to the triangle with sides 5, 12, and 13?",Right-angled triangle,Equilateral triangle,Scalene triangle,Isosceles triangle,A,easy,8
"Find the area of a triangle with base 10 and height 5.",25,20,30,15,A,easy,8
"Calculate the perimeter of a triangle with sides 6, 8, and 10.",24,22,26,20,D,medium,8
"Determine the type of triangle with angles 90°, 45°, and 45°.",Acute triangle,Right-angled triangle,Obtuse triangle,Equilateral triangle,B,medium,8
"Find the area of a triangle with sides 7, 24, and 25 using Heron’s formula.",84,90,92,100,A,hard,8
"Solve for x in the trigonometric equation: sin(x) = 1/2.",x = 30°,x = 45°,x = 60°,x = 90°,A,easy,7
"Find the general solution for tan(x) = 1.",x = 45°,x = 60°,x = 30°,x = 90°,A,medium,7
"Solve the trigonometric equation: cos(x) = 1/2.",x = 60°,x = 90°,x = 45°,x = 30°,A,medium,7
"Find the solution for x in the equation sin(x) = -1/2.",x = 150°,x = 30°,x = 90°,x = 60°,A,hard,7
"Find the general solution to the equation tan(x) = 1.",x = 45°,x = 60°,x = 90°,x = 30°,A,hard,7
"Find the value of sin(30°).",1/2,1,√3/2,0,B,easy,6
"What is cos(60°)?",1/2,1,0,√2/2,A,easy,6
"Find the value of tan(45°).",1,0,√3,∞,A,medium,6
"What is the value of sin(90°)?",1,0,√3/2,1/2,A,medium,6
"Find the value of cos(0°).",0,1,1/2,√3/2,B,hard,6
"Factorize the expression x² + 5x + 6.",(x + 3)(x + 2),(x + 1)(x + 6),(x + 2)(x - 3),(x - 1)(x + 5),A,easy,5
"Factorize the quadratic expression x² - 9.",(x + 3)(x - 3),(x + 2)(x - 2),(x + 5)(x - 5),(x - 7)(x + 7),A,easy,5
"Factor the expression x² - 8x + 16.",(x - 4)(x - 4),(x + 4)(x - 4),(x + 5)(x - 3),(x - 2)(x - 8),A,medium,5
"Factor the quadratic expression x² - 4x - 5.",(x - 5)(x + 1),(x + 5)(x - 1),(x + 4)(x - 1),(x - 2)(x - 3),A,medium,5
"Factor the expression x² + 7x + 10.",(x + 5)(x + 2),(x + 6)(x + 3),(x - 2)(x + 5),(x - 1)(x + 4),A,hard,5
"What is sin(2x)?",2sin(x)cos(x),sin²(x)cos²(x),2cos²(x) - 1,cos(2x),A,easy,4
"Find the value of cos(2x).",cos²(x) - sin²(x),2sin(x)cos(x),1 - 2sin²(x),1 - 2cos²(x),A,easy,4
"Use the double angle identity for sine to find sin(2x).",2sin(x)cos(x),2cos²(x) - 1,cos(2x),sin²(x)cos²(x),A,medium,4
"Apply the multiple angle formula to find sin(3x).",3sin(x) - 4sin³(x),sin(x) + cos(x),tan(x),1 - sin²(x),A,medium,4
"Use the triple angle identity for cosine to find cos(3x).",4cos³(x) - 3cos(x),cos²(x) - sin²(x),cos(2x),sin²(x) - cos²(x),A,hard,4
"Find the value of sin(45° + 30°).",sin(45°)cos(30°) + cos(45°)sin(30°),sin(45°)cos(30°),cos(45°)sin(30°),sin(75°),A,easy,3
"What is cos(30° - 45°)?",cos(30°)cos(45°) + sin(30°)sin(45°),cos(30°)cos(45°) - sin(30°)sin(45°),cos(75°),sin(15°),B,easy,3
"Find the value of tan(60° + 30°).",tan(90°),tan(30°) + tan(60°),tan(90°) + tan(30°),tan(90°) - tan(30°),A,medium,3
"Find the value of sin(60° + 30°).",sin(60°)cos(30°) + cos(60°)sin(30°),sin(30°)cos(60°),sin(45°),cos(90°),A,medium,3
"Find the value of cos(45° + 45°).",cos(45°)cos(45°) - sin(45°)sin(45°),cos(90°),cos(45°) + cos(45°),sin(90°),A,hard,3
"Find the value of sin(45° + 30°).",sin(45°)cos(30°) + cos(45°)sin(30°),sin(45°)cos(30°),cos(45°)sin(30°),sin(75°),A,easy,1
"What is cos(30° - 45°)?",cos(30°)cos(45°) + sin(30°)sin(45°),cos(30°)cos(45°) - sin(30°)sin(45°),cos(75°),sin(15°),B,easy,1
"Find the value of tan(60° + 30°).",tan(90°),tan(30°) + tan(60°),tan(90°) + tan(30°),tan(90°) - tan(30°),A,medium,1
"Find the value of sin(60° + 30°).",sin(60°)cos(30°) + cos(60°)sin(30°),sin(30°)cos(60°),sin(45°),cos(90°),A,medium,1
"Find the value of cos(45° + 45°).",cos(45°)cos(45°) - sin(45°)sin(45°),cos(90°),cos(45°) + cos(45°),sin(90°),A,hard,1
"What is the value of sin(45°)?",1/2,√2/2,1,√3/2,B,easy,2
"Find the value of cos(60°).",1/2,1,0,√3/2,A,easy,2
"Evaluate the expression tan(45°).",0,1,√3,∞,B,medium,2
"What is the value of sin(90°)?",0,1,√3/2,1/2,A,medium,2
"Find the value of cos(0°).",0,1,1/2,√3/2,B,hard,2
