question_text,option_a,option_b,option_c,option_d,correct_answer,difficulty,sub_topic_id
"Factorize: x^2 + 6x + 9. (B1)","(x + 3)(x + 3)","(x + 2)(x + 4)","(x - 1)(x - 9)","(x + 5)(x - 1)",A,easy,17
"Factorize: x^2 - 9x + 20. (B2)","(x - 4)(x - 5)","(x - 2)(x + 5)","(x + 4)(x - 5)","(x - 10)(x + 2)",A,medium,17
"Factorize: 2x^2 + 7x + 3. (B2)","(2x + 3)(x + 1)","(x + 1)(2x + 3)","(2x + 1)(x + 3)","(x + 2)(x + 1)",A,medium,17
"Factorize: x^2 - 5x - 24. (B3)","(x - 8)(x + 3)","(x + 8)(x - 3)","(x - 12)(x + 2)","(x + 5)(x - 4)",A,medium,17
"Factorize: 3x^2 - 12x. (B3)","3x(x - 4)","3(x - 2)(x + 2)","(x - 2)(x + 6)","x(3x - 4)",A,medium,17
"Factorize: 4x^2 - 25. (B4)","(2x - 5)(2x + 5)","(x - 5)(x + 5)","(2x - 10)(2x + 5)","(4x - 5)(x + 5)",A,hard,17
"Factorize: x^2 - 6x + 8. (B4)","(x - 4)(x - 2)","(x - 3)(x - 3)","(x - 2)(x - 4)","(x - 1)(x - 8)",A,hard,17
"Factorize the quadratic: x^2 + 4x - 21. (B5)","(x + 7)(x - 3)","(x - 7)(x + 3)","(x + 2)(x - 11)","(x - 4)(x + 5)",A,hard,17
"Factorize: 6x^2 + 11x - 35. (B5)", "(2x + 5)(3x - 7)", "(3x + 5)(2x - 7)", "(x + 5)(6x - 7)", "(6x + 5)(x - 7)", A, hard, 17
"Find the degree of the polynomial: 4x^3 + 2x^2 - x + 5. (B1)", "3", "2", "1", "4", A, easy, 16
"Identify the leading term of the polynomial: 5x^4 - 3x^3 + x - 2. (B1)", "5x^4", "3x^3", "x", "-2", A, easy, 16
"Find the value of the polynomial: 3x^2 + 2x - 5 for x = 2. (B2)", "9", "7", "11", "5", A, medium, 16
"Evaluate the polynomial: 4x^2 + 3x + 1 at x = -1. (B2)", "6", "2", "4", "3", B, medium, 16
"Find the roots of the polynomial: x^2 - 3x + 2. (B3)", "x = 1 or 2", "x = -1 or 2", "x = 0 or -2", "x = -1 or -2", A, medium, 16
"Find the value of x if x^2 + 6x + 9 = 0. (B3)", "x = -3", "x = 3", "x = 1", "x = 0", A, medium, 16
"Simplify the polynomial: (x + 2)(x - 3). (B4)", "x^2 - x - 6", "x^2 + x - 6", "x^2 - 6", "x^2 + 6x + 6", A, hard, 16
"Factor the polynomial: x^2 + 5x + 6. (B4)", "(x + 2)(x + 3)", "(x + 1)(x + 6)", "(x - 2)(x + 3)", "(x + 1)(x + 5)", A, hard, 16
"Find the quotient of the polynomial: (x^3 - x) ÷ x. (B5)", "x^2 - 1", "x^2 + 1", "x^3 - 1", "x^2 - x", A, hard, 16
"Divide the polynomial: (2x^2 + 3x + 5) ÷ (x + 1). (B5)", "2x - 1", "2x + 5", "2x^2 + 3x", "2x + 3", B, hard, 16
